u,v,key,osmid,oneway,name,highway,reversed,length,geometry,lanes,junction,maxspeed,access,ref,bridge,width,tunnel
619305731,12794348742,0,618748731,True,Eastern Express Highway,trunk,False,119.19900000000001,"LINESTRING (72.9127401 19.0748371, 72.9133025 19.0753488, 72.9135402 19.0755962)",4,,70,,NH48,,,
632299700,10244260002,0,1235796615,False,Choitram Gidwani Marg (Kolwada Borla Road),secondary,True,14.642,"LINESTRING (72.8932657 19.0455063, 72.893405 19.0455057)",,,,,,,,
632299700,7357795957,0,787034841,False,,residential,True,93.406,"LINESTRING (72.8932657 19.0455063, 72.8927717 19.0454029, 72.8924006 19.0453145)",,,,,,,,
632299700,2248801164,0,1235796607,True,Ramakrishna Chemburkar Marg (Ghatkopar Mahul Road),secondary,False,77.94999999999999,"LINESTRING (72.8932657 19.0455063, 72.8932663 19.0456271, 72.8932703 19.0462073)",,,,,,,,
632312691,10279835726,0,1124105179,False,,secondary_link,False,18.624,"LINESTRING (72.8934702 19.0420862, 72.8936444 19.0421168)",,,,,,,,
632312691,4357265401,0,1268427404,True,Ramakrishna Chemburkar Marg (Ghatkopar Mahul Road),secondary,False,23.484,"LINESTRING (72.8934702 19.0420862, 72.8934264 19.0422933)",,,,,,,,
632312696,10244260004,0,1173896026,True,,residential,False,16.419,"LINESTRING (72.8933346 19.047734, 72.8934908 19.0477319)",,,,,,,,
632312696,632313012,0,1235796607,True,Ramakrishna Chemburkar Marg (Ghatkopar Mahul Road),secondary,False,346.955,"LINESTRING (72.8933346 19.047734, 72.8933005 19.0484856, 72.8932866 19.0487934, 72.8933081 19.0492262, 72.8933154 19.0492922, 72.8935782 19.0500643, 72.8938663 19.0507622)",,,,,,,,
632313012,10207346702,0,1240182703,True,Ramakrishna Chemburkar Marg,secondary,False,8.047,"LINESTRING (72.8938663 19.0507622, 72.89388 19.0508334)",2,,,,,,,
632313012,11243128510,0,49753180,True,Hemu Kalani Marg,secondary,False,141.359,"LINESTRING (72.8938663 19.0507622, 72.893671 19.0508562, 72.8926981 19.0513916)",,,,,,,,
632313274,4357272780,0,1293945993,True,Hemu Kalani Marg,secondary,False,53.445,"LINESTRING (72.8898799 19.0533218, 72.8895808 19.0537105)",,,,,,,,
632313274,4357272779,0,437948363,False,,residential,True,86.413,"LINESTRING (72.8898799 19.0533218, 72.8896823 19.0532855, 72.8894762 19.0532539, 72.8892712 19.0532544, 72.8890651 19.0532734)",,,,,,,,
1157625205,10809175117,0,618243215,True,Eastern Express Highway,trunk,False,194.519,"LINESTRING (72.9038561 19.0686422, 72.9049696 19.069388, 72.9052842 19.0697383)",4,,,,NH48,,,
1232643956,3206284093,0,107213224,False,Road 2,residential,False,160.478,"LINESTRING (72.8987337 19.0689075, 72.8985331 19.0686507, 72.8984057 19.0685534, 72.8982946 19.0684831, 72.8980121 19.0683955, 72.8977149 19.0683971, 72.8974335 19.0684876)",,,,,,,,
1232643956,1232644609,0,107213224,False,Road 2,residential,True,138.339,"LINESTRING (72.8987337 19.0689075, 72.8987834 19.069125, 72.8987856 19.0693804, 72.8987098 19.0696255, 72.8985622 19.0698395, 72.8983556 19.0700041)",,,,,,,,
1232643956,1232644519,0,314585679,False,,residential,False,74.173,"LINESTRING (72.8987337 19.0689075, 72.8987654 19.0688721, 72.8993155 19.0685331)",,,,,,,,
1232644012,4264598321,0,107213212,True,Ghatkopar Mahul Road,tertiary,False,15.715,"LINESTRING (72.900476 19.0685557, 72.9004288 19.0684216)",,,,,,,,
1232644012,4264598322,0,1380178535,False,Road 2,residential,False,19.827,"LINESTRING (72.900476 19.0685557, 72.9002916 19.0685934)",,,,,,,,
1232644013,2804594089,0,107213238,False,Road No 4,residential,True,18.085,"LINESTRING (72.8923582 19.0679594, 72.8922363 19.0680742)",,,,,,,,
1232644013,6495534604,0,1155676538,False,Road No 13,residential,False,128.725,"LINESTRING (72.8923582 19.0679594, 72.8916704 19.0670015)",,,,,,,,
