osmid,y,x,street_count,highway,geometry
1367092912,19.0563945,72.9099416,4,,POINT (72.9099416 19.0563945)
1367092932,19.0571135,72.9043167,4,,POINT (72.9043167 19.0571135)
1367092933,19.0570998,72.9038496,3,,POINT (72.9038496 19.0570998)
1367092952,19.0580741,72.8863952,3,,POINT (72.8863952 19.0580741)
1367092973,19.0593096,72.9068679,3,,POINT (72.9068679 19.0593096)
1367092986,19.0604161,72.9028,1,,POINT (72.9028 19.0604161)
1367092999,19.0605386,72.9041871,3,,POINT (72.9041871 19.0605386)
1367093009,19.0607002,72.9005783,3,,POINT (72.9005783 19.0607002)
1367093036,19.0611952,72.9028073,3,,POINT (72.9028073 19.0611952)
1367093063,19.0614671,72.8911361,3,,POINT (72.8911361 19.0614671)
1367093072,19.0619919,72.8891577,3,,POINT (72.8891577 19.0619919)
1367093074,19.0621117,72.8833503,4,traffic_signals,POINT (72.8833503 19.0621117)
1367093082,19.0624783,72.8922918,3,,POINT (72.8922918 19.0624783)
1367093086,19.0625799,72.8899703,3,,POINT (72.8899703 19.0625799)
1367093105,19.063117,72.8930443,3,,POINT (72.8930443 19.063117)
1367093112,19.063255,72.8850221,4,,POINT (72.8850221 19.063255)
1367093122,19.0634306,72.8905615,3,,POINT (72.8905615 19.0634306)
1367093147,19.0640469,72.8829626,3,,POINT (72.8829626 19.0640469)
