u,v,length
1738882054,11054192419,113.03999999999999
1903616901,7130092054,67.858
1903616901,5838250386,411.98199999999997
1903616901,10938970235,61.964
1903627624,11066146235,8.28
1903627624,1903627628,160.625
1903627624,1336408320,203.311
1903627628,1903627624,160.625
1903627628,11252250805,64.236
1903627628,4296286850,69.034
1903627628,7130092054,147.393
2143584813,9941769656,37.122
2143584813,1654383160,120.499
2143584813,5911339568,64.501
2146269431,2146273790,70.118
2146269431,2146270810,96.599
2146269431,2146269444,239.87000000000003
2146269442,1232644913,22.662
2146269442,2146273790,152.346
2146269442,2146269461,157.354
2146269444,2146269431,239.87
2146269444,1665625285,82.029
2146269444,1232644913,426.29699999999997
2146269450,2163935132,160.667
2146269450,2146270425,74.16
2146269450,4264598326,13.032
2146269452,4357302890,66.259
2146269452,2146270425,36.776
2146269452,2146270811,69.566
2146269452,2146269465,110.3
2146269461,4357302890,81.603
2146269461,2163935132,80.31
2146269461,2146269442,157.354
2146269465,2146270424,57.387
2146269465,2146269452,110.3
2146269465,2146270810,75.922
2146270424,2146269465,57.387
2146270424,2146270425,129.482
2146270424,245667692,87.83
2146270425,2146269452,36.776
2146270425,2146269450,74.16
2146270425,2146270424,129.482
2146270810,2146269431,96.599
2146270810,2146270811,110.401
2146270810,2146269465,75.922
2146270811,2146269452,69.566
2146270811,2146270810,110.401
2146270811,4357302890,131.28199999999998
2146273510,4264598323,11.077
2146273510,1232644012,172.878
2146273510,11029864299,65.596
2146273512,2146273514,74.071
2146273512,2146273517,119.318
2146273512,1232644197,102.28
2146273512,2146273513,238.103
2146273513,10279771622,21.769
2146273513,2146273512,238.103
2146273514,2146273512,74.071
2146273515,9167615447,10.522
2146273515,11029864299,63.540000000000006
2146273515,11029904655,39.989999999999995
2146273517,4264598321,18.889
2146273517,2146273519,87.956
2146273517,2146273512,119.318
2146273519,2146273517,87.956
2146273520,9167615449,23.947
2146273790,2146269431,70.118
2146273790,2146269442,152.346
2146273790,2146279195,86.896
2146279195,2146273790,86.896
2163935132,2146269461,80.31
2163935132,4264598325,14.482
2163935132,2146273510,109.111
2163950391,2163950402,52.736
2163950391,2163956171,44.001
2163950391,2235206832,180.426
2163950393,2163950400,76.256
2163950393,2163956171,163.882
2163950393,2235210219,78.616
2163950400,1366938303,81.145
2163950400,13014758862,175.563
2163950400,2163950393,76.256
2163950402,13014758856,46.947
2163950402,1366938348,49.366
2163950402,2163950391,52.736
2163956171,2163950391,44.001
2163956171,2163950393,163.882
2163956171,2235206832,151.034
2235206832,2235206835,63.488
2235206832,2163950391,180.426
2235206832,2235210219,313.844
2235206832,2163956171,151.034
2235206835,2235206832,63.488
2235206835,2242249982,145.393
2235206835,1366938348,293.847
2235210217,1366938274,236.746
2235210217,4357289671,144.365
2235210217,2235210219,70.166
2235210219,2235206832,313.844
2235210219,2163950393,78.616
2235210219,2235210217,70.166
2238493937,4357289671,62.521
2238493937,4357289674,307.414
2238493937,11064895804,69.403
2238597919,6573759453,23.899
2238597919,245664662,20.348999999999997
2238597924,6573759453,36.315
2238597924,1643264260,95.475
2238597924,2238597919,35.443
2242249982,6431435287,103.85
2242249982,1366938274,69.741
2242249982,2235206835,145.393
2242249986,6431435287,128.464
2246471647,1654348910,107.424
2246471647,10207397924,14.173
2246471649,4357309667,44.391
